Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,
"TOWN MART",-71.354156,41.880325,"885 Newport Ave","","Pawtucket","RI","02861","2643","PROVIDENCE" 
"St Francis D Assisi Convenience",-71.443741,41.826977,"84 Academy Ave","","Providence","RI","02908","5329","PROVIDENCE" 
"ALDI 13",-71.354416,41.857162,"60 Newport Ave","","Rumford","RI","02916","2068","PROVIDENCE" 
"Dollar Tree 1477",-71.405098,41.767281,"320 Warwick Ave","Bldg 2","Warwick","RI","02888","1300","KENT" 
"Dollar Tree 1724",-71.457977,41.616753,"6649 Post Rd","","North Kingstown","RI","02852","1832","WASHINGTON" 
"Dollar Tree 1794",-71.444702,41.795639,"252 Garfield Ave","","Cranston","RI","02920","7803","PROVIDENCE" 
"Convenience Plus",-71.4991,41.824306,"1501 Atwood Ave","","Johnston","RI","02919","3232","PROVIDENCE" 
"Broadway Mart",-71.432922,41.819031,"447 Broadway","","Providence","RI","02909","1624","PROVIDENCE" 
"Walgreens 09374",-71.360542,41.811558,"600 Warren Ave","","East Providence","RI","02914","2808","PROVIDENCE" 
"Stop & Shop Super Center 739",-71.465034,41.720299,"565 Greenwich Ave","","Warwick","RI","02886","1814","KENT" 
"Walgreens 11147",-71.448029,41.813755,"1 Pocasset Ave","","Providence","RI","02909","2907","PROVIDENCE" 
"Trader Joes 518",-71.489311,41.711597,"1000 Bald Hill Rd","","Warwick","RI","02886","","KENT" 
"Taunton Ave Bakery",-71.374069,41.819729,"208 Taunton Ave","","East Providence","RI","02914","4556","PROVIDENCE" 
"Family Dollar 2120",-71.398499,41.710533,"2485 Warwick Ave","","Warwick","RI","02889","4262","KENT" 
"Family Dollar 2289",-71.820366,41.372154,"116 Granite St","","Westerly","RI","02891","","WASHINGTON" 
"Family Dollar 4947",-71.547325,41.696621,"635 Washington St","","Coventry","RI","02816","5479","KENT" 
"Family Dollar 3538",-71.525665,41.682415,"1745 Main St","","West Warwick","RI","02893","","KENT" 
"Family Dollar 4799",-71.698486,41.514328,"1190 Main St","Chariho Plz","Wyoming","RI","02898","1074","WASHINGTON" 
"Family Dollar 5017",-71.279289,41.693314,"1150 Hope St","","Bristol","RI","02809","1138","BRISTOL" 
"Family Dollar 2020",-71.462692,41.819126,"550 Hartford Ave","","Providence","RI","02909","","PROVIDENCE" 
"Family Dollar 5073",-71.507942,42.006233,"401 Clinton St","","Woonsocket","RI","02895","3214","PROVIDENCE" 
"Family Dollar 2095",-71.392288,41.882496,"320 Dexter St","","Pawtucket","RI","02860","1908","PROVIDENCE" 
"Family Dollar 2868",-71.441956,41.832256,"1030 Chalkstone Ave","","Providence","RI","02908","4550","PROVIDENCE" 
"Family Dollar 2190",-71.406525,41.791737,"1280 Broad St","","Providence","RI","02905","2933","PROVIDENCE" 
"Family Dollar 6933",-71.375084,41.887131,"502 Broadway","","Pawtucket","RI","02860","1341","PROVIDENCE" 
"Family Dollar 6864",-71.402061,41.786419,"1515 Broad St","","Providence","RI","02905","2835","PROVIDENCE" 
"Family Dollar 7649",-71.461441,41.850185,"1525 Smith St","","North Providence","RI","02911","","PROVIDENCE" 
"Dollar Tree Deal$ 3981",-71.496063,41.815262,"1386 Atwood Ave","Unit 1","Johnston","RI","02919","4911","PROVIDENCE" 
"Dollar Tree 1963",-71.4711,42.015106,"1900 Diamond Hill Rd","","Woonsocket","RI","02895","1592","PROVIDENCE" 
"Family Dollar 2108",-71.427826,41.85339,"678 Branch Ave","","Providence","RI","02904","1702","PROVIDENCE" 
"Family Dollar 2447",-71.364426,41.880352,"295 Armistice Blvd","","Pawtucket","RI","02861","","PROVIDENCE" 
"Family Dollar 2687",-71.372261,41.81971,"214 Taunton Ave","","East Providence","RI","02914","4557","PROVIDENCE" 
"Family Dollar 2924",-71.423302,41.74815,"1092 Post Rd","","Warwick","RI","02888","3327","KENT" 
"Family Dollar 3901",-71.431694,41.788166,"361 Reservoir Ave","","Cranston","RI","02907","","PROVIDENCE" 
"Plainfield Meat Market",-71.458954,41.812611,"600 Plainfield St","","Providence","RI","02909","4630","PROVIDENCE" 
"Save-A-Lot Inc 813",-71.364426,41.880352,"295 Armistice Blvd","","Pawtucket","RI","02861","","PROVIDENCE" 
"CVS Pharmacy 4096",-71.386826,41.883343,"305 Broad Street","","Central Falls","RI","02863","","PROVIDENCE" 
"Family Dollar 7972",-71.387337,41.891323,"839 Broad St","","Central Falls","RI","02863","2307","PROVIDENCE" 
"Pacific Seafood Market",-71.429291,41.790009,"247 Reservoir Ave","","Providence","RI","02907","3402","PROVIDENCE" 
"Aldi 41",-71.428818,41.83622,"539 Smith St","","Providence","RI","02908","4350","PROVIDENCE" 
"AJ's Variety",-71.468102,41.803528,"1031 Plainfield St","Ste 1","Johnston","RI","02919","6734","PROVIDENCE" 
"GI JOE'S VARIETY",-71.425858,41.835381,"445 Smith St","","Providence","RI","02908","4333","PROVIDENCE" 
"Citgo Gas",-71.437263,41.774452,"480 Pontiac Ave","","Cranston","RI","02910","3520","PROVIDENCE" 
"Sam's Club 6681",-71.496719,41.702496,"25 Pace Blvd","","Warwick","RI","02886","4244","KENT" 
"Walgreens 11128",-71.568909,41.680737,"875 Tiogue Ave","","Coventry","RI","02816","6300","KENT" 
"Family Dollar 8015",-71.56665,41.690563,"10 Coventry Shoppers Park","","Coventry","RI","02816","5777","KENT" 
"Shop-N-Go",-71.540764,41.883392,"115 Pleasant View Ave","Unit #9","Smithfield","RI","02917","2167","PROVIDENCE" 
"Mini Market La Esperanza",-71.388451,41.896748,"1234 Broad St","","Central Falls","RI","02863","1003","PROVIDENCE" 
"CVS Pharmacy 852",-71.542877,41.66304,"2250 New London Tpke","","Coventry","RI","02816","4411","KENT" 
"Family Dollar 3626",-71.354385,41.857559,"52 Newport Ave","","Rumford","RI","02916","2068","PROVIDENCE" 
"BJ's Wholesale Club 119",-71.550041,41.661583,"790 Centre of New England Blvd","","Coventry","RI","02816","6083","KENT" 
"BJ's Wholesale Club 306",-71.2948,41.518387,"173 E Main Rd","","Middletown","RI","02842","4938","NEWPORT" 
"A & E CONVENIENCE STORE",-71.454079,41.825409,"1119 Atwells Ave","","Providence","RI","02909","4144","PROVIDENCE" 
"Camden Mini Market",-71.426643,41.838978,"135 Camden Ave","","Providence","RI","02908","3605","PROVIDENCE" 
"Mateo Market LLC",-71.447578,41.811024,"3 Priscilla Ave","","Providence","RI","02909","3507","PROVIDENCE" 
"Schroder's Deli",-71.356323,41.775105,"204 Willett Ave","","Riverside","RI","02915","4299","PROVIDENCE" 
